Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  2 ,  4 ,  1 ,  1 ,  2.0  ,  3000000 ,  1 ,  99.8985333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  3 ,  4 ,  1 ,  1 ,  3.0  ,  3000000 ,  1 ,  95.9500333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  4 ,  4 ,  1 ,  1 ,  4.0  ,  3000000 ,  1 ,  78.7303  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  5 ,  4 ,  1 ,  1 ,  5.0  ,  3000000 ,  1 ,  53.3219  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  6 ,  4 ,  1 ,  1 ,  6.0  ,  3000000 ,  1 ,  31.4023666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  7 ,  4 ,  1 ,  1 ,  7.0  ,  3000000 ,  1 ,  17.1474  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  8 ,  4 ,  1 ,  1 ,  8.0  ,  3000000 ,  1 ,  8.9635  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  9 ,  4 ,  1 ,  1 ,  9.0  ,  3000000 ,  1 ,  4.5734  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  10 ,  4 ,  1 ,  1 ,  10.0  ,  3000000 ,  1 ,  2.30456666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  11 ,  4 ,  1 ,  1 ,  11.0  ,  3000000 ,  1 ,  1.1689  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  12 ,  4 ,  1 ,  1 ,  12.0  ,  3000000 ,  1 ,  0.584133333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  13 ,  4 ,  1 ,  1 ,  13.0  ,  3000000 ,  1 ,  0.2913  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  14 ,  4 ,  1 ,  1 ,  14.0  ,  3000000 ,  1 ,  0.144633333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  15 ,  4 ,  1 ,  1 ,  15.0  ,  3000000 ,  1 ,  0.0731666666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  16 ,  4 ,  1 ,  1 ,  16.0  ,  3000000 ,  1 ,  0.0347  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  17 ,  4 ,  1 ,  1 ,  17.0  ,  3000000 ,  1 ,  0.0171666666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  18 ,  4 ,  1 ,  1 ,  18.0  ,  3000000 ,  1 ,  0.00813333333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  19 ,  4 ,  1 ,  1 ,  19.0  ,  3000000 ,  1 ,  0.00433333333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  20 ,  4 ,  1 ,  1 ,  20.0  ,  3000000 ,  1 ,  0.00246666666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  21 ,  4 ,  1 ,  1 ,  21.0  ,  3000000 ,  1 ,  0.0011  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  22 ,  4 ,  1 ,  1 ,  22.0  ,  3000000 ,  1 ,  0.000466666666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  23 ,  4 ,  1 ,  1 ,  23.0  ,  3000000 ,  1 ,  0.000233333333333  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  24 ,  4 ,  1 ,  1 ,  24.0  ,  3000000 ,  1 ,  0.000166666666667  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  25 ,  4 ,  1 ,  1 ,  25.0  ,  3000000 ,  1 ,  6.66666666667e-05  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
PacketMinSketch ,  26 ,  4 ,  1 ,  1 ,  26.0  ,  3000000 ,  1 ,  6.66666666667e-05  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,  --  ,
